# -------------------------
Cluster: 15001272;CONDOR_PROC=0   Process: None
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 24
aux_nodes           : 512
aux_layers          : 3
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 32768
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 133.894880 | Val loss: 62.081354 | epoch time: 16.68s
Epoch 001 | Train loss: 44.686983 | Val loss: 31.547548 | epoch time: 14.35s
Epoch 002 | Train loss: 29.606297 | Val loss: 26.572823 | epoch time: 14.76s
Epoch 003 | Train loss: 26.671322 | Val loss: 26.660714 | epoch time: 14.64s
Epoch 004 | Train loss: 25.826409 | Val loss: 25.044134 | epoch time: 14.91s
Epoch 005 | Train loss: 24.491355 | Val loss: 23.811465 | epoch time: 14.87s
Epoch 006 | Train loss: 23.830270 | Val loss: 24.122731 | epoch time: 15.00s
Epoch 007 | Train loss: 23.720709 | Val loss: 23.159225 | epoch time: 15.26s
Epoch 008 | Train loss: 23.155637 | Val loss: 22.884443 | epoch time: 15.34s
Epoch 009 | Train loss: 22.779794 | Val loss: 22.536475 | epoch time: 15.13s
Epoch 010 | Train loss: 22.508125 | Val loss: 22.451075 | epoch time: 15.21s
Epoch 011 | Train loss: 22.432720 | Val loss: 23.075041 | epoch time: 15.32s
Epoch 012 | Train loss: 23.283131 | Val loss: 22.747382 | epoch time: 15.01s
Epoch 013 | Train loss: 23.068495 | Val loss: 22.630746 | epoch time: 15.12s
Epoch 014 | Train loss: 22.081339 | Val loss: 21.797991 | epoch time: 15.08s
Epoch 015 | Train loss: 21.733678 | Val loss: 21.386123 | epoch time: 15.25s
Epoch 016 | Train loss: 21.325054 | Val loss: 20.286469 | epoch time: 15.34s
Epoch 017 | Train loss: 20.491826 | Val loss: 20.580587 | epoch time: 15.31s
Epoch 018 | Train loss: 20.309057 | Val loss: 19.852939 | epoch time: 15.46s
Epoch 019 | Train loss: 19.892151 | Val loss: 19.322740 | epoch time: 14.87s
Epoch 020 | Train loss: 19.404660 | Val loss: 19.296963 | epoch time: 15.11s
Epoch 021 | Train loss: 19.344076 | Val loss: 19.773667 | epoch time: 15.08s
Epoch 022 | Train loss: 19.510389 | Val loss: 19.049118 | epoch time: 15.40s
Epoch 023 | Train loss: 19.076413 | Val loss: 18.732607 | epoch time: 14.96s
Epoch 024 | Train loss: 18.555633 | Val loss: 18.239251 | epoch time: 15.03s
Epoch 025 | Train loss: 18.405858 | Val loss: 18.714921 | epoch time: 14.89s
Epoch 026 | Train loss: 18.429319 | Val loss: 18.399260 | epoch time: 14.99s
Epoch 027 | Train loss: 18.278127 | Val loss: 17.792552 | epoch time: 15.18s
Epoch 028 | Train loss: 17.627376 | Val loss: 17.385611 | epoch time: 15.15s
Epoch 029 | Train loss: 17.563247 | Val loss: 18.295362 | epoch time: 15.21s
Epoch 030 | Train loss: 18.261479 | Val loss: 17.202515 | epoch time: 14.96s
Epoch 031 | Train loss: 17.780102 | Val loss: 17.814773 | epoch time: 15.04s
Epoch 032 | Train loss: 17.917768 | Val loss: 18.320930 | epoch time: 15.12s
Epoch 033 | Train loss: 17.820227 | Val loss: 17.888773 | epoch time: 15.22s
Epoch 034 | Train loss: 17.790937 | Val loss: 17.470759 | epoch time: 15.15s
Epoch 035 | Train loss: 17.578479 | Val loss: 17.845137 | epoch time: 15.07s
Epoch 036 | Train loss: 17.562667 | Val loss: 17.983132 | epoch time: 15.08s
Epoch 037 | Train loss: 17.099503 | Val loss: 16.677915 | epoch time: 15.11s
Epoch 038 | Train loss: 16.389182 | Val loss: 16.112793 | epoch time: 15.03s
Epoch 039 | Train loss: 16.083754 | Val loss: 16.059260 | epoch time: 15.20s
Epoch 040 | Train loss: 15.892865 | Val loss: 15.845342 | epoch time: 15.12s
Epoch 041 | Train loss: 15.742800 | Val loss: 15.771012 | epoch time: 15.15s
Epoch 042 | Train loss: 15.655517 | Val loss: 15.597027 | epoch time: 14.96s
Epoch 043 | Train loss: 15.520527 | Val loss: 15.668274 | epoch time: 15.28s
Epoch 044 | Train loss: 15.472053 | Val loss: 15.428988 | epoch time: 15.05s
Epoch 045 | Train loss: 15.354967 | Val loss: 15.365338 | epoch time: 15.27s
Epoch 046 | Train loss: 15.240524 | Val loss: 15.288491 | epoch time: 15.08s
Epoch 047 | Train loss: 15.205022 | Val loss: 15.152426 | epoch time: 15.26s
Epoch 048 | Train loss: 15.240117 | Val loss: 15.235266 | epoch time: 15.28s
Epoch 049 | Train loss: 15.130597 | Val loss: 15.099196 | epoch time: 15.19s
Epoch 050 | Train loss: 15.051071 | Val loss: 15.073863 | epoch time: 15.27s
Epoch 051 | Train loss: 14.957087 | Val loss: 14.981910 | epoch time: 15.03s
Epoch 052 | Train loss: 14.931560 | Val loss: 14.910191 | epoch time: 15.10s
Epoch 053 | Train loss: 14.821444 | Val loss: 14.937337 | epoch time: 15.08s
Epoch 054 | Train loss: 14.825296 | Val loss: 14.941424 | epoch time: 15.19s
Epoch 055 | Train loss: 14.768383 | Val loss: 14.931373 | epoch time: 15.16s
Epoch 056 | Train loss: 14.720853 | Val loss: 14.815268 | epoch time: 15.18s
Epoch 057 | Train loss: 14.657746 | Val loss: 14.567446 | epoch time: 14.86s
Epoch 058 | Train loss: 14.784476 | Val loss: 15.174383 | epoch time: 15.19s
Epoch 059 | Train loss: 14.949150 | Val loss: 14.983650 | epoch time: 14.93s
Epoch 060 | Train loss: 14.831320 | Val loss: 14.959642 | epoch time: 15.18s
Epoch 061 | Train loss: 14.791181 | Val loss: 14.859060 | epoch time: 15.18s
