# -------------------------
Cluster: 15000006;CONDOR_PROC=0   Process: unknown
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 24
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 8192
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 58.001722 | Val loss: 26.793444 | epoch time: 2.66s
Epoch 001 | Train loss: 24.526598 | Val loss: 23.707279 | epoch time: 2.36s
Epoch 002 | Train loss: 22.961038 | Val loss: 22.632471 | epoch time: 2.36s
Epoch 003 | Train loss: 21.877231 | Val loss: 20.673211 | epoch time: 2.27s
Epoch 004 | Train loss: 20.103970 | Val loss: 19.066191 | epoch time: 2.46s
Epoch 005 | Train loss: 19.361229 | Val loss: 18.324251 | epoch time: 2.51s
Epoch 006 | Train loss: 18.107878 | Val loss: 17.799045 | epoch time: 2.52s
Epoch 007 | Train loss: 17.383656 | Val loss: 18.050013 | epoch time: 2.34s
Epoch 008 | Train loss: 17.053536 | Val loss: 16.643956 | epoch time: 2.41s
Epoch 009 | Train loss: 16.394799 | Val loss: 16.159278 | epoch time: 2.41s
Epoch 010 | Train loss: 15.988615 | Val loss: 15.807586 | epoch time: 2.50s
Epoch 011 | Train loss: 15.701788 | Val loss: 16.022674 | epoch time: 2.71s
Epoch 012 | Train loss: 15.494202 | Val loss: 16.517434 | epoch time: 2.60s
Epoch 013 | Train loss: 15.564724 | Val loss: 15.509645 | epoch time: 2.35s
Epoch 014 | Train loss: 15.162371 | Val loss: 15.384240 | epoch time: 2.49s
Epoch 015 | Train loss: 15.139368 | Val loss: 15.239420 | epoch time: 2.27s
Epoch 016 | Train loss: 15.283383 | Val loss: 15.196913 | epoch time: 2.37s
Epoch 017 | Train loss: 14.789704 | Val loss: 14.944666 | epoch time: 2.24s
Epoch 018 | Train loss: 14.818308 | Val loss: 14.983473 | epoch time: 2.39s
Epoch 019 | Train loss: 14.358875 | Val loss: 14.714471 | epoch time: 2.21s
Epoch 020 | Train loss: 14.329624 | Val loss: 14.320826 | epoch time: 2.48s
Epoch 021 | Train loss: 14.011843 | Val loss: 14.902282 | epoch time: 2.46s
Epoch 022 | Train loss: 14.665766 | Val loss: 14.262227 | epoch time: 2.37s
Epoch 023 | Train loss: 13.940508 | Val loss: 13.579688 | epoch time: 2.47s
Epoch 024 | Train loss: 14.155951 | Val loss: 13.721566 | epoch time: 2.27s
