# -------------------------
Cluster: 15000019;CONDOR_PROC=0   Process: None
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 8
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 32768
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 138.572791 | Val loss: 56.803647 | epoch time: 7.67s
Epoch 001 | Train loss: 43.933253 | Val loss: 33.076504 | epoch time: 4.21s
Epoch 002 | Train loss: 30.356727 | Val loss: 27.140226 | epoch time: 4.77s
Epoch 003 | Train loss: 26.929518 | Val loss: 25.509523 | epoch time: 4.83s
Epoch 004 | Train loss: 25.084167 | Val loss: 24.328344 | epoch time: 5.27s
Epoch 005 | Train loss: 24.046899 | Val loss: 23.737259 | epoch time: 4.69s
Epoch 006 | Train loss: 23.842683 | Val loss: 23.624535 | epoch time: 4.55s
Epoch 007 | Train loss: 23.602879 | Val loss: 23.161956 | epoch time: 4.75s
Epoch 008 | Train loss: 23.057725 | Val loss: 23.098213 | epoch time: 4.43s
Epoch 009 | Train loss: 22.992407 | Val loss: 23.014891 | epoch time: 4.63s
Epoch 010 | Train loss: 22.866239 | Val loss: 23.376522 | epoch time: 4.61s
Epoch 011 | Train loss: 22.831702 | Val loss: 22.796881 | epoch time: 4.26s
Epoch 012 | Train loss: 22.477452 | Val loss: 22.328952 | epoch time: 4.63s
Epoch 013 | Train loss: 22.610244 | Val loss: 22.159069 | epoch time: 4.19s
Epoch 014 | Train loss: 21.921806 | Val loss: 21.415404 | epoch time: 4.63s
Epoch 015 | Train loss: 21.539886 | Val loss: 21.413508 | epoch time: 3.99s
Epoch 016 | Train loss: 21.423767 | Val loss: 20.962011 | epoch time: 4.44s
Epoch 017 | Train loss: 21.032086 | Val loss: 20.869884 | epoch time: 4.37s
Epoch 018 | Train loss: 20.951429 | Val loss: 20.873818 | epoch time: 4.69s
Epoch 019 | Train loss: 20.571159 | Val loss: 20.230303 | epoch time: 4.63s
Epoch 020 | Train loss: 20.315023 | Val loss: 21.352528 | epoch time: 4.73s
Epoch 021 | Train loss: 21.209870 | Val loss: 21.013076 | epoch time: 4.79s
Epoch 022 | Train loss: 20.495649 | Val loss: 20.146270 | epoch time: 4.49s
Epoch 023 | Train loss: 19.734507 | Val loss: 19.971765 | epoch time: 5.31s
Epoch 024 | Train loss: 19.764867 | Val loss: 19.310545 | epoch time: 4.79s
Epoch 025 | Train loss: 19.346627 | Val loss: 19.620067 | epoch time: 4.96s
Epoch 026 | Train loss: 19.337091 | Val loss: 19.123088 | epoch time: 4.39s
Epoch 027 | Train loss: 20.274252 | Val loss: 19.763635 | epoch time: 5.11s
Epoch 028 | Train loss: 19.712552 | Val loss: 18.875147 | epoch time: 5.18s
Epoch 029 | Train loss: 18.901658 | Val loss: 18.767207 | epoch time: 4.92s
Epoch 030 | Train loss: 18.917917 | Val loss: 18.911057 | epoch time: 4.58s
Epoch 031 | Train loss: 19.024268 | Val loss: 19.180071 | epoch time: 4.42s
Epoch 032 | Train loss: 18.807240 | Val loss: 18.500716 | epoch time: 4.85s
Epoch 033 | Train loss: 18.389271 | Val loss: 18.110358 | epoch time: 4.74s
Epoch 034 | Train loss: 18.305692 | Val loss: 18.357610 | epoch time: 4.67s
Epoch 035 | Train loss: 18.184602 | Val loss: 18.036156 | epoch time: 4.65s
Epoch 036 | Train loss: 17.868314 | Val loss: 17.718503 | epoch time: 4.60s
Epoch 037 | Train loss: 17.737778 | Val loss: 18.831966 | epoch time: 4.53s
Epoch 038 | Train loss: 18.308653 | Val loss: 18.160862 | epoch time: 4.32s
Epoch 039 | Train loss: 17.785072 | Val loss: 17.694044 | epoch time: 4.48s
