# -------------------------
Cluster: 15000013;CONDOR_PROC=0   Process: None
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 40
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 32768
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 106.012280 | Val loss: 48.115346 | epoch time: 3.11s
Epoch 001 | Train loss: 39.553717 | Val loss: 32.298237 | epoch time: 2.87s
Epoch 002 | Train loss: 30.766481 | Val loss: 28.348263 | epoch time: 2.96s
Epoch 003 | Train loss: 27.251918 | Val loss: 26.402768 | epoch time: 2.87s
Epoch 004 | Train loss: 25.306925 | Val loss: 24.550988 | epoch time: 2.85s
Epoch 005 | Train loss: 24.682953 | Val loss: 25.089614 | epoch time: 2.75s
Epoch 006 | Train loss: 24.183756 | Val loss: 24.022503 | epoch time: 3.16s
Epoch 007 | Train loss: 23.387090 | Val loss: 23.357337 | epoch time: 2.67s
Epoch 008 | Train loss: 23.130471 | Val loss: 22.785319 | epoch time: 2.86s
Epoch 009 | Train loss: 22.630424 | Val loss: 21.908558 | epoch time: 2.81s
Epoch 010 | Train loss: 22.077235 | Val loss: 22.301719 | epoch time: 2.96s
Epoch 011 | Train loss: 21.956107 | Val loss: 21.619838 | epoch time: 2.79s
Epoch 012 | Train loss: 21.180040 | Val loss: 21.077454 | epoch time: 2.93s
Epoch 013 | Train loss: 20.602890 | Val loss: 20.588779 | epoch time: 2.79s
Epoch 014 | Train loss: 20.273759 | Val loss: 20.233601 | epoch time: 2.88s
Epoch 015 | Train loss: 20.528683 | Val loss: 20.678050 | epoch time: 2.82s
Epoch 016 | Train loss: 21.212966 | Val loss: 20.514072 | epoch time: 2.91s
Epoch 017 | Train loss: 20.327932 | Val loss: 21.413996 | epoch time: 2.83s
Epoch 018 | Train loss: 20.787668 | Val loss: 19.735716 | epoch time: 2.82s
Epoch 019 | Train loss: 19.386416 | Val loss: 18.916218 | epoch time: 2.44s
Epoch 020 | Train loss: 19.017064 | Val loss: 18.734440 | epoch time: 2.85s
Epoch 021 | Train loss: 18.575583 | Val loss: 18.194630 | epoch time: 2.96s
Epoch 022 | Train loss: 18.555387 | Val loss: 18.994002 | epoch time: 2.78s
Epoch 023 | Train loss: 18.588405 | Val loss: 18.569413 | epoch time: 3.09s
Epoch 024 | Train loss: 18.622510 | Val loss: 19.404071 | epoch time: 2.94s
Epoch 025 | Train loss: 19.218329 | Val loss: 19.642418 | epoch time: 3.04s
Epoch 026 | Train loss: 18.935162 | Val loss: 18.100437 | epoch time: 2.80s
Epoch 027 | Train loss: 18.137446 | Val loss: 18.049419 | epoch time: 2.76s
Epoch 028 | Train loss: 17.905842 | Val loss: 18.371632 | epoch time: 2.75s
Epoch 029 | Train loss: 18.148968 | Val loss: 18.562544 | epoch time: 2.88s
Epoch 030 | Train loss: 18.527159 | Val loss: 17.960365 | epoch time: 2.85s
Epoch 031 | Train loss: 17.712288 | Val loss: 17.395217 | epoch time: 2.68s
Epoch 032 | Train loss: 17.247314 | Val loss: 17.001162 | epoch time: 2.66s
Epoch 033 | Train loss: 17.163782 | Val loss: 17.560095 | epoch time: 2.73s
Epoch 034 | Train loss: 17.414426 | Val loss: 16.897519 | epoch time: 2.60s
Epoch 035 | Train loss: 16.924415 | Val loss: 16.765810 | epoch time: 2.76s
Epoch 036 | Train loss: 16.741116 | Val loss: 16.859362 | epoch time: 2.63s
Epoch 037 | Train loss: 16.707007 | Val loss: 16.779034 | epoch time: 2.82s
Epoch 038 | Train loss: 16.650742 | Val loss: 16.626701 | epoch time: 2.85s
Epoch 039 | Train loss: 16.418460 | Val loss: 16.161219 | epoch time: 2.96s
Epoch 040 | Train loss: 16.133655 | Val loss: 16.166943 | epoch time: 2.64s
Epoch 041 | Train loss: 15.951840 | Val loss: 15.966914 | epoch time: 3.09s
Epoch 042 | Train loss: 16.263660 | Val loss: 16.246001 | epoch time: 2.77s
Epoch 043 | Train loss: 16.151385 | Val loss: 15.963683 | epoch time: 2.86s
Epoch 044 | Train loss: 15.919045 | Val loss: 15.741489 | epoch time: 2.87s
Epoch 045 | Train loss: 15.651689 | Val loss: 15.262825 | epoch time: 3.03s
Epoch 046 | Train loss: 15.530528 | Val loss: 15.671598 | epoch time: 2.57s
Epoch 047 | Train loss: 15.493973 | Val loss: 15.765267 | epoch time: 2.72s
Epoch 048 | Train loss: 15.533160 | Val loss: 15.520331 | epoch time: 3.02s
Epoch 049 | Train loss: 15.542105 | Val loss: 16.034130 | epoch time: 2.95s
Epoch 050 | Train loss: 15.642018 | Val loss: 15.216765 | epoch time: 3.12s
Epoch 051 | Train loss: 15.434349 | Val loss: 15.346055 | epoch time: 2.60s
Epoch 052 | Train loss: 15.244146 | Val loss: 14.943110 | epoch time: 2.67s
Epoch 053 | Train loss: 15.137362 | Val loss: 14.863822 | epoch time: 2.59s
Epoch 054 | Train loss: 15.060941 | Val loss: 15.320724 | epoch time: 3.00s
Epoch 055 | Train loss: 14.983136 | Val loss: 15.181578 | epoch time: 2.74s
Epoch 056 | Train loss: 14.964711 | Val loss: 15.183205 | epoch time: 2.81s
Epoch 057 | Train loss: 15.110850 | Val loss: 15.426880 | epoch time: 2.77s
Epoch 058 | Train loss: 15.158537 | Val loss: 15.020799 | epoch time: 2.74s
Epoch 059 | Train loss: 14.938109 | Val loss: 15.250508 | epoch time: 2.67s
Epoch 060 | Train loss: 14.685212 | Val loss: 14.367401 | epoch time: 2.94s
Epoch 061 | Train loss: 14.139239 | Val loss: 14.135810 | epoch time: 2.64s
Epoch 062 | Train loss: 13.935452 | Val loss: 14.101504 | epoch time: 2.76s
Epoch 063 | Train loss: 14.009671 | Val loss: 14.315371 | epoch time: 2.92s
Epoch 064 | Train loss: 13.965540 | Val loss: 14.097962 | epoch time: 2.99s
Epoch 065 | Train loss: 13.883150 | Val loss: 13.867706 | epoch time: 2.84s
Epoch 066 | Train loss: 13.800389 | Val loss: 13.879022 | epoch time: 2.70s
Epoch 067 | Train loss: 13.791168 | Val loss: 13.982236 | epoch time: 2.69s
Epoch 068 | Train loss: 13.758938 | Val loss: 13.908947 | epoch time: 3.03s
Epoch 069 | Train loss: 13.694966 | Val loss: 13.762251 | epoch time: 2.70s
Epoch 070 | Train loss: 13.660786 | Val loss: 13.607458 | epoch time: 2.96s
Epoch 071 | Train loss: 13.590186 | Val loss: 13.628447 | epoch time: 2.70s
Epoch 072 | Train loss: 13.506800 | Val loss: 13.957774 | epoch time: 2.79s
Epoch 073 | Train loss: 13.665078 | Val loss: 13.678600 | epoch time: 2.70s
Epoch 074 | Train loss: 13.466087 | Val loss: 13.688215 | epoch time: 2.87s
Epoch 075 | Train loss: 13.528231 | Val loss: 13.590019 | epoch time: 2.86s
Epoch 076 | Train loss: 13.426394 | Val loss: 13.507743 | epoch time: 2.94s
Epoch 077 | Train loss: 13.573932 | Val loss: 13.733142 | epoch time: 2.74s
Epoch 078 | Train loss: 13.662675 | Val loss: 13.678728 | epoch time: 3.05s
Epoch 079 | Train loss: 13.515896 | Val loss: 13.555407 | epoch time: 3.00s
Epoch 080 | Train loss: 13.554975 | Val loss: 13.590243 | epoch time: 2.90s
Epoch 081 | Train loss: 13.625382 | Val loss: 13.809308 | epoch time: 3.14s
Epoch 082 | Train loss: 13.689441 | Val loss: 13.673964 | epoch time: 2.96s
Epoch 083 | Train loss: 13.464331 | Val loss: 13.559782 | epoch time: 3.00s
Epoch 084 | Train loss: 13.343046 | Val loss: 13.371602 | epoch time: 3.00s
Epoch 085 | Train loss: 13.273183 | Val loss: 13.355091 | epoch time: 2.93s
Epoch 086 | Train loss: 13.245857 | Val loss: 13.315642 | epoch time: 2.79s
Epoch 087 | Train loss: 13.155764 | Val loss: 13.285739 | epoch time: 2.61s
Epoch 088 | Train loss: 13.110806 | Val loss: 13.222130 | epoch time: 2.71s
Epoch 089 | Train loss: 13.040457 | Val loss: 13.159031 | epoch time: 3.00s
Epoch 090 | Train loss: 13.030247 | Val loss: 13.260341 | epoch time: 2.60s
Epoch 091 | Train loss: 13.016025 | Val loss: 13.092278 | epoch time: 2.77s
Epoch 092 | Train loss: 13.017764 | Val loss: 13.038314 | epoch time: 2.69s
Epoch 093 | Train loss: 13.054808 | Val loss: 13.241864 | epoch time: 2.82s
Epoch 094 | Train loss: 13.168082 | Val loss: 13.305525 | epoch time: 2.74s
Epoch 095 | Train loss: 13.036961 | Val loss: 13.253114 | epoch time: 2.90s
Epoch 096 | Train loss: 13.015180 | Val loss: 13.287963 | epoch time: 2.68s
Epoch 097 | Train loss: 13.039271 | Val loss: 13.012432 | epoch time: 2.76s
Epoch 098 | Train loss: 12.918966 | Val loss: 12.993220 | epoch time: 2.93s
Epoch 099 | Train loss: 12.945389 | Val loss: 13.063074 | epoch time: 2.72s
Epoch 100 | Train loss: 12.997319 | Val loss: 13.153719 | epoch time: 2.74s
Epoch 101 | Train loss: 13.092745 | Val loss: 13.209780 | epoch time: 2.62s
Epoch 102 | Train loss: 13.031335 | Val loss: 13.346265 | epoch time: 2.90s
Epoch 103 | Train loss: 12.996574 | Val loss: 13.070984 | epoch time: 2.68s
Epoch 104 | Train loss: 12.946778 | Val loss: 13.269001 | epoch time: 2.86s
Epoch 105 | Train loss: 12.924267 | Val loss: 13.162701 | epoch time: 2.77s
Epoch 106 | Train loss: 12.888664 | Val loss: 13.129531 | epoch time: 2.95s
Epoch 107 | Train loss: 12.868447 | Val loss: 13.162549 | epoch time: 2.75s
Epoch 108 | Train loss: 12.838754 | Val loss: 13.177655 | epoch time: 2.96s
Epoch 109 | Train loss: 12.821698 | Val loss: 13.117937 | epoch time: 2.73s
Epoch 110 | Train loss: 12.812911 | Val loss: 13.179151 | epoch time: 2.97s
Epoch 111 | Train loss: 12.797842 | Val loss: 13.171153 | epoch time: 3.04s
Epoch 112 | Train loss: 12.792563 | Val loss: 13.172699 | epoch time: 3.13s
Epoch 113 | Train loss: 12.787444 | Val loss: 13.163534 | epoch time: 2.95s
Stopping. Best val: 12.993220 at epoch 98
