# -------------------------
Cluster: 15000007;CONDOR_PROC=0   Process: unknown
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 24
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 8192
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 57.109418 | Val loss: 26.390336 | epoch time: 2.53s
Epoch 001 | Train loss: 24.491239 | Val loss: 23.121216 | epoch time: 2.12s
Epoch 002 | Train loss: 22.880072 | Val loss: 22.882244 | epoch time: 2.35s
Epoch 003 | Train loss: 22.080722 | Val loss: 21.687717 | epoch time: 2.26s
Epoch 004 | Train loss: 20.630935 | Val loss: 19.973766 | epoch time: 2.43s
Epoch 005 | Train loss: 19.585561 | Val loss: 18.906017 | epoch time: 2.39s
Epoch 006 | Train loss: 18.292640 | Val loss: 17.695655 | epoch time: 2.45s
Epoch 007 | Train loss: 17.689911 | Val loss: 17.406155 | epoch time: 2.31s
Epoch 008 | Train loss: 17.253867 | Val loss: 17.483634 | epoch time: 2.33s
Epoch 009 | Train loss: 16.905872 | Val loss: 16.536846 | epoch time: 2.26s
Epoch 010 | Train loss: 16.599115 | Val loss: 16.608538 | epoch time: 2.41s
Epoch 011 | Train loss: 16.260254 | Val loss: 15.969935 | epoch time: 2.45s
Epoch 012 | Train loss: 15.816085 | Val loss: 15.641750 | epoch time: 2.37s
Epoch 013 | Train loss: 15.349969 | Val loss: 15.025430 | epoch time: 2.18s
Epoch 014 | Train loss: 15.109086 | Val loss: 15.089015 | epoch time: 2.30s
Epoch 015 | Train loss: 14.982166 | Val loss: 15.342762 | epoch time: 2.28s
Epoch 016 | Train loss: 15.407242 | Val loss: 15.377358 | epoch time: 2.20s
Epoch 017 | Train loss: 15.178146 | Val loss: 15.037247 | epoch time: 2.27s
Epoch 018 | Train loss: 14.685744 | Val loss: 14.745106 | epoch time: 2.25s
Epoch 019 | Train loss: 14.726534 | Val loss: 14.803686 | epoch time: 2.15s
Epoch 020 | Train loss: 14.570377 | Val loss: 14.859445 | epoch time: 2.20s
Epoch 021 | Train loss: 14.336196 | Val loss: 14.064001 | epoch time: 2.31s
Epoch 022 | Train loss: 13.801546 | Val loss: 13.996782 | epoch time: 2.23s
Epoch 023 | Train loss: 13.657691 | Val loss: 14.070176 | epoch time: 2.31s
Epoch 024 | Train loss: 13.783246 | Val loss: 14.814770 | epoch time: 2.21s
Epoch 025 | Train loss: 14.105004 | Val loss: 14.946119 | epoch time: 2.39s
Epoch 026 | Train loss: 14.056366 | Val loss: 13.824940 | epoch time: 2.19s
Epoch 027 | Train loss: 13.638319 | Val loss: 14.687301 | epoch time: 2.31s
Epoch 028 | Train loss: 14.034681 | Val loss: 13.939381 | epoch time: 2.15s
Epoch 029 | Train loss: 13.940586 | Val loss: 14.177515 | epoch time: 2.21s
Epoch 030 | Train loss: 14.001851 | Val loss: 13.560327 | epoch time: 2.31s
Epoch 031 | Train loss: 14.006322 | Val loss: 14.708668 | epoch time: 2.28s
Epoch 032 | Train loss: 14.341008 | Val loss: 14.474959 | epoch time: 2.21s
Epoch 033 | Train loss: 14.070213 | Val loss: 13.436806 | epoch time: 2.19s
Epoch 034 | Train loss: 13.352822 | Val loss: 13.492601 | epoch time: 2.12s
Epoch 035 | Train loss: 13.289994 | Val loss: 13.633618 | epoch time: 2.13s
Epoch 036 | Train loss: 13.415465 | Val loss: 14.054406 | epoch time: 2.34s
Epoch 037 | Train loss: 13.378558 | Val loss: 12.992302 | epoch time: 2.25s
Epoch 038 | Train loss: 13.062359 | Val loss: 14.736661 | epoch time: 2.26s
Epoch 039 | Train loss: 13.279569 | Val loss: 13.307390 | epoch time: 2.27s
Epoch 040 | Train loss: 13.013386 | Val loss: 12.918624 | epoch time: 2.10s
Epoch 041 | Train loss: 12.684001 | Val loss: 13.021794 | epoch time: 2.20s
Epoch 042 | Train loss: 13.003489 | Val loss: 12.573649 | epoch time: 2.15s
Epoch 043 | Train loss: 12.799729 | Val loss: 12.655105 | epoch time: 2.19s
Epoch 044 | Train loss: 12.434693 | Val loss: 12.397107 | epoch time: 2.11s
Epoch 045 | Train loss: 12.684037 | Val loss: 12.768994 | epoch time: 2.20s
Epoch 046 | Train loss: 12.694227 | Val loss: 12.866667 | epoch time: 2.13s
Epoch 047 | Train loss: 12.662518 | Val loss: 13.184601 | epoch time: 2.15s
Epoch 048 | Train loss: 12.626399 | Val loss: 13.421110 | epoch time: 2.16s
Epoch 049 | Train loss: 12.466310 | Val loss: 12.192310 | epoch time: 2.23s
Epoch 050 | Train loss: 12.302087 | Val loss: 12.444451 | epoch time: 2.18s
Epoch 051 | Train loss: 12.091173 | Val loss: 12.486034 | epoch time: 2.14s
Epoch 052 | Train loss: 12.052111 | Val loss: 11.756379 | epoch time: 2.37s
Epoch 053 | Train loss: 12.269198 | Val loss: 12.394509 | epoch time: 2.11s
Epoch 054 | Train loss: 12.107141 | Val loss: 13.209588 | epoch time: 2.22s
Epoch 055 | Train loss: 12.030849 | Val loss: 12.401988 | epoch time: 2.16s
Epoch 056 | Train loss: 12.035085 | Val loss: 12.134215 | epoch time: 2.20s
Epoch 057 | Train loss: 11.471644 | Val loss: 11.433047 | epoch time: 2.25s
Epoch 058 | Train loss: 11.537211 | Val loss: 11.648019 | epoch time: 2.24s
Epoch 059 | Train loss: 11.738842 | Val loss: 11.565803 | epoch time: 2.15s
Epoch 060 | Train loss: 11.859562 | Val loss: 12.457647 | epoch time: 2.14s
Epoch 061 | Train loss: 11.423651 | Val loss: 11.515039 | epoch time: 2.13s
Epoch 062 | Train loss: 11.610505 | Val loss: 12.067762 | epoch time: 2.14s
Epoch 063 | Train loss: 11.482638 | Val loss: 11.567748 | epoch time: 2.11s
Epoch 064 | Train loss: 10.808166 | Val loss: 11.048809 | epoch time: 2.20s
Epoch 065 | Train loss: 10.548485 | Val loss: 10.677783 | epoch time: 2.10s
Epoch 066 | Train loss: 10.482823 | Val loss: 10.589672 | epoch time: 2.15s
Epoch 067 | Train loss: 10.395368 | Val loss: 10.697818 | epoch time: 2.08s
Epoch 068 | Train loss: 10.376246 | Val loss: 10.508767 | epoch time: 2.21s
Epoch 069 | Train loss: 10.286786 | Val loss: 10.602278 | epoch time: 2.04s
Epoch 070 | Train loss: 10.209309 | Val loss: 10.387860 | epoch time: 2.15s
Epoch 071 | Train loss: 10.135239 | Val loss: 10.329806 | epoch time: 2.13s
Epoch 072 | Train loss: 10.092689 | Val loss: 10.288877 | epoch time: 2.19s
Epoch 073 | Train loss: 10.031319 | Val loss: 10.244479 | epoch time: 2.14s
Epoch 074 | Train loss: 10.002515 | Val loss: 10.187471 | epoch time: 2.30s
Epoch 075 | Train loss: 9.994216 | Val loss: 10.240154 | epoch time: 2.33s
Epoch 076 | Train loss: 9.942501 | Val loss: 10.141829 | epoch time: 2.27s
Epoch 077 | Train loss: 9.936856 | Val loss: 10.234794 | epoch time: 2.34s
Epoch 078 | Train loss: 10.101345 | Val loss: 10.376368 | epoch time: 2.25s
Epoch 079 | Train loss: 10.313200 | Val loss: 10.551754 | epoch time: 2.28s
Epoch 080 | Train loss: 10.160369 | Val loss: 10.473721 | epoch time: 2.21s
Epoch 081 | Train loss: 10.072662 | Val loss: 10.218164 | epoch time: 2.32s
Epoch 082 | Train loss: 9.924686 | Val loss: 10.137677 | epoch time: 2.14s
Epoch 083 | Train loss: 9.871712 | Val loss: 10.108865 | epoch time: 2.32s
Epoch 084 | Train loss: 9.813769 | Val loss: 10.010256 | epoch time: 2.20s
