# -------------------------
Cluster: 15000004;CONDOR_PROC=0   Process: unknown
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 24
aux_nodes           : 512
aux_layers          : 3
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 8192
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 60.624619 | Val loss: 25.900933 | epoch time: 14.49s
Epoch 001 | Train loss: 23.529015 | Val loss: 22.753273 | epoch time: 13.47s
Epoch 002 | Train loss: 22.229388 | Val loss: 21.402109 | epoch time: 13.83s
Epoch 003 | Train loss: 21.294327 | Val loss: 20.435816 | epoch time: 13.85s
Epoch 004 | Train loss: 19.866795 | Val loss: 19.616516 | epoch time: 14.17s
Epoch 005 | Train loss: 19.045042 | Val loss: 18.142395 | epoch time: 14.23s
Epoch 006 | Train loss: 17.884799 | Val loss: 17.243433 | epoch time: 14.18s
Epoch 007 | Train loss: 17.903923 | Val loss: 17.355788 | epoch time: 14.32s
Epoch 008 | Train loss: 16.916120 | Val loss: 16.967407 | epoch time: 14.38s
Epoch 009 | Train loss: 16.445672 | Val loss: 17.161027 | epoch time: 14.37s
Epoch 010 | Train loss: 16.239877 | Val loss: 16.435031 | epoch time: 14.46s
Epoch 011 | Train loss: 15.929148 | Val loss: 15.972975 | epoch time: 14.68s
Epoch 012 | Train loss: 15.457254 | Val loss: 15.218124 | epoch time: 14.54s
Epoch 013 | Train loss: 15.112813 | Val loss: 14.930556 | epoch time: 14.46s
Epoch 014 | Train loss: 14.835185 | Val loss: 14.980458 | epoch time: 14.60s
Epoch 015 | Train loss: 14.694252 | Val loss: 14.413846 | epoch time: 14.60s
Epoch 016 | Train loss: 14.430804 | Val loss: 13.993161 | epoch time: 14.51s
Epoch 017 | Train loss: 14.002479 | Val loss: 13.993087 | epoch time: 14.53s
Epoch 018 | Train loss: 13.755931 | Val loss: 13.610212 | epoch time: 14.64s
Epoch 019 | Train loss: 13.933413 | Val loss: 14.368071 | epoch time: 14.33s
Epoch 020 | Train loss: 13.737445 | Val loss: 13.484787 | epoch time: 14.69s
Epoch 021 | Train loss: 13.844502 | Val loss: 14.377304 | epoch time: 14.50s
Epoch 022 | Train loss: 13.370780 | Val loss: 14.145806 | epoch time: 14.48s
Epoch 023 | Train loss: 13.528418 | Val loss: 13.178376 | epoch time: 14.66s
Epoch 024 | Train loss: 13.075994 | Val loss: 13.543255 | epoch time: 14.57s
Epoch 025 | Train loss: 13.118431 | Val loss: 12.770793 | epoch time: 14.66s
Epoch 026 | Train loss: 12.850010 | Val loss: 12.894502 | epoch time: 14.43s
Epoch 027 | Train loss: 12.857808 | Val loss: 13.184798 | epoch time: 14.67s
Epoch 028 | Train loss: 12.728132 | Val loss: 12.269389 | epoch time: 14.37s
Epoch 029 | Train loss: 12.578301 | Val loss: 12.348804 | epoch time: 14.43s
Epoch 030 | Train loss: 12.565703 | Val loss: 12.777884 | epoch time: 14.46s
Epoch 031 | Train loss: 12.409646 | Val loss: 13.850580 | epoch time: 14.55s
