# -------------------------
Cluster: 15000005;CONDOR_PROC=0   Process: unknown
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 24
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 8192
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 58.587074 | Val loss: 27.625079 | epoch time: 2.68s
Epoch 001 | Train loss: 25.149871 | Val loss: 24.085055 | epoch time: 2.17s
Epoch 002 | Train loss: 23.376357 | Val loss: 22.718165 | epoch time: 2.61s
Epoch 003 | Train loss: 22.344290 | Val loss: 22.249272 | epoch time: 2.28s
Epoch 004 | Train loss: 21.455263 | Val loss: 20.633559 | epoch time: 2.64s
Epoch 005 | Train loss: 20.137493 | Val loss: 18.988803 | epoch time: 2.46s
Epoch 006 | Train loss: 19.144770 | Val loss: 18.710353 | epoch time: 2.62s
Epoch 007 | Train loss: 18.328067 | Val loss: 18.431358 | epoch time: 2.50s
Epoch 008 | Train loss: 17.664160 | Val loss: 18.443572 | epoch time: 2.48s
Epoch 009 | Train loss: 17.471741 | Val loss: 16.904861 | epoch time: 2.53s
Epoch 010 | Train loss: 17.569709 | Val loss: 17.589255 | epoch time: 2.50s
Epoch 011 | Train loss: 16.951623 | Val loss: 17.012857 | epoch time: 2.48s
Epoch 012 | Train loss: 16.356137 | Val loss: 16.181163 | epoch time: 2.58s
Epoch 013 | Train loss: 16.069751 | Val loss: 16.221005 | epoch time: 2.45s
Epoch 014 | Train loss: 15.678463 | Val loss: 15.562896 | epoch time: 2.50s
Epoch 015 | Train loss: 15.137707 | Val loss: 15.792901 | epoch time: 2.34s
Epoch 016 | Train loss: 15.469263 | Val loss: 15.629245 | epoch time: 2.42s
Epoch 017 | Train loss: 15.189734 | Val loss: 15.017956 | epoch time: 2.30s
Epoch 018 | Train loss: 15.216624 | Val loss: 15.116561 | epoch time: 2.39s
Epoch 019 | Train loss: 15.153898 | Val loss: 15.835690 | epoch time: 2.22s
Epoch 020 | Train loss: 15.610133 | Val loss: 14.763616 | epoch time: 2.52s
Epoch 021 | Train loss: 14.663845 | Val loss: 14.950909 | epoch time: 2.57s
Epoch 022 | Train loss: 14.597541 | Val loss: 14.792614 | epoch time: 2.45s
Epoch 023 | Train loss: 14.477930 | Val loss: 14.475958 | epoch time: 2.62s
Epoch 024 | Train loss: 14.099934 | Val loss: 13.972713 | epoch time: 2.42s
Epoch 025 | Train loss: 14.458871 | Val loss: 14.007615 | epoch time: 2.61s
Epoch 026 | Train loss: 14.026757 | Val loss: 14.860165 | epoch time: 2.41s
Epoch 027 | Train loss: 14.297963 | Val loss: 13.924497 | epoch time: 2.63s
Epoch 028 | Train loss: 14.150887 | Val loss: 14.626122 | epoch time: 2.29s
Epoch 029 | Train loss: 14.010089 | Val loss: 14.123825 | epoch time: 2.36s
Epoch 030 | Train loss: 14.079751 | Val loss: 14.017189 | epoch time: 2.45s
Epoch 031 | Train loss: 13.564058 | Val loss: 13.587700 | epoch time: 2.40s
Epoch 032 | Train loss: 13.854458 | Val loss: 13.930608 | epoch time: 2.38s
Epoch 033 | Train loss: 13.599210 | Val loss: 14.029912 | epoch time: 2.33s
Epoch 034 | Train loss: 13.899725 | Val loss: 13.870586 | epoch time: 2.29s
Epoch 035 | Train loss: 13.617324 | Val loss: 13.720253 | epoch time: 2.29s
Epoch 036 | Train loss: 13.623360 | Val loss: 13.941868 | epoch time: 2.49s
Epoch 037 | Train loss: 13.371276 | Val loss: 12.813368 | epoch time: 2.47s
Epoch 038 | Train loss: 13.304001 | Val loss: 13.449833 | epoch time: 2.53s
Epoch 039 | Train loss: 13.659165 | Val loss: 16.285515 | epoch time: 2.49s
Epoch 040 | Train loss: 13.786823 | Val loss: 13.324347 | epoch time: 2.33s
Epoch 041 | Train loss: 13.539307 | Val loss: 13.201530 | epoch time: 2.52s
Epoch 042 | Train loss: 13.142312 | Val loss: 12.991389 | epoch time: 2.31s
Epoch 043 | Train loss: 12.978685 | Val loss: 13.103266 | epoch time: 2.45s
Epoch 044 | Train loss: 12.172484 | Val loss: 12.094338 | epoch time: 2.26s
Epoch 045 | Train loss: 11.887813 | Val loss: 11.953959 | epoch time: 2.47s
Epoch 046 | Train loss: 11.793087 | Val loss: 11.895646 | epoch time: 2.44s
Epoch 047 | Train loss: 11.737488 | Val loss: 12.358407 | epoch time: 2.47s
Epoch 048 | Train loss: 12.117806 | Val loss: 12.221294 | epoch time: 2.37s
Epoch 049 | Train loss: 11.899773 | Val loss: 12.016812 | epoch time: 2.34s
Epoch 050 | Train loss: 11.685453 | Val loss: 11.756793 | epoch time: 2.38s
Epoch 051 | Train loss: 11.540597 | Val loss: 11.626015 | epoch time: 2.44s
