# -------------------------
Cluster: 14999999;CONDOR_PROC=0   Process: unknown
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 24
aux_nodes           : 512
aux_layers          : 3
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 8192
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 47.498103 | Val loss: 24.179041 | epoch time: 2.60s
Epoch 001 | Train loss: 23.108411 | Val loss: 22.734500 | epoch time: 2.17s
Epoch 002 | Train loss: 22.062067 | Val loss: 21.754313 | epoch time: 2.38s
Epoch 003 | Train loss: 21.069294 | Val loss: 20.462309 | epoch time: 2.21s
Epoch 004 | Train loss: 20.320664 | Val loss: 19.277779 | epoch time: 2.34s
Epoch 005 | Train loss: 18.897839 | Val loss: 18.855968 | epoch time: 2.49s
Epoch 006 | Train loss: 18.221440 | Val loss: 17.404565 | epoch time: 2.49s
Epoch 007 | Train loss: 17.249135 | Val loss: 16.945771 | epoch time: 2.42s
Epoch 008 | Train loss: 17.023297 | Val loss: 16.699156 | epoch time: 2.37s
Epoch 009 | Train loss: 16.501952 | Val loss: 16.167832 | epoch time: 2.27s
Epoch 010 | Train loss: 15.965087 | Val loss: 15.810288 | epoch time: 2.38s
Epoch 011 | Train loss: 15.718354 | Val loss: 15.862173 | epoch time: 2.47s
Epoch 012 | Train loss: 15.763834 | Val loss: 15.856505 | epoch time: 2.42s
Epoch 013 | Train loss: 15.481424 | Val loss: 15.479772 | epoch time: 2.19s
Epoch 014 | Train loss: 15.064741 | Val loss: 15.263736 | epoch time: 2.36s
Epoch 015 | Train loss: 14.885439 | Val loss: 15.813465 | epoch time: 2.21s
Epoch 016 | Train loss: 14.651788 | Val loss: 14.351910 | epoch time: 2.23s
Epoch 017 | Train loss: 14.096311 | Val loss: 14.316815 | epoch time: 2.36s
Epoch 018 | Train loss: 14.129294 | Val loss: 14.670153 | epoch time: 2.41s
Epoch 019 | Train loss: 13.991090 | Val loss: 14.178357 | epoch time: 2.20s
